"ID","CRASHDATE","NYCBOROUGH","ViolationDescription","ViolationCode"
15150939,"1/30/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15151946,"1/30/2020","BROOKLYN","FLD TO STOP @ STOP SIGN","1172A"
15152383,"1/30/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15152655,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15152916,"1/30/2020","MANHATTAN","BACKING UNSAFELY","1211A"
15153975,"1/30/2020","BROOKLYN","PASSED RED SIGNAL","1111D1"
15157180,"1/30/2020","MANHATTAN","AGGRAVATED DWI - BLOOD ALCOHOL CONTENT .18 OR HIGH","11922AA"
15157653,"1/30/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15158389,"1/30/2020","MANHATTAN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15159440,"1/30/2020","BROOKLYN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15159572,"1/30/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15159947,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15160125,"1/30/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15163196,"1/30/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15163439,"1/30/2020","QUEENS","UNLICENSED OPERATOR","5091"
15163439,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15164479,"1/30/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15164819,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15164933,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15165506,"1/30/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15166335,"1/30/2020","BRONX","AGGRAVATED UNLIC OPER 2ND/PREV CONV","5112A1"
15168188,"1/30/2020","MANHATTAN","BACKING UNSAFELY","1211A"
15168961,"1/30/2020","BRONX","UNLICENSED OPERATOR","5091"
15168992,"1/30/2020","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15169116,"1/30/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15169195,"1/30/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15169332,"1/30/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15169374,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15172911,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15173034,"1/30/2020","QUEENS","OP MV- MOBILE PHONE","1225C2A"
15173149,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15173494,"1/30/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15173694,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15174457,"1/30/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15177029,"1/30/2020","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15177030,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15177286,"1/30/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15177360,"1/30/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15177449,"1/30/2020","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15177449,"1/30/2020","BROOKLYN","DRIV'G IN SHOULDER / LMT ACESS HGWH","1131"
15177492,"1/30/2020","MANHATTAN","DRIVING WHILE INTOXICATED","11923"
15178130,"1/30/2020","BROOKLYN","AGGRAVATED UNLIC OPER. 1ST DEGREE","5113A"
15178631,"1/30/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15178865,"1/30/2020","BRONX","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15178902,"1/30/2020","BRONX","UNLICENSED OPERATOR","5091"
15179160,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15179281,"1/30/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15179336,"1/30/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15180292,"1/30/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15180623,"1/30/2020","BRONX","FLD/YLD RT-OF-WAY @ TRAF CRCLE/ISL","1145"
15180833,"1/30/2020","BROOKLYN","DRIVING TO LFT OF PAVEMENT MARKINGS","1126A"
15181115,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15181146,"1/30/2020","BRONX","FLD TO YLD RT-OF-WAY @ INTERSECTION","1140A"
15181324,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15185075,"1/30/2020","QUEENS","BACKING UNSAFELY","1211A"
15185317,"1/30/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15190212,"1/30/2020","BROOKLYN","IMPROPER RT TURN INTERSECTION","1160A"
15190223,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15190400,"1/30/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15190412,"1/30/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15190527,"1/30/2020","BRONX","UNLICENSED OPERATOR","5091"
15190545,"1/30/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15190557,"1/30/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15190562,"1/30/2020","QUEENS","IMPROPER LEFT TURN ON TWO-WAY RDWY","1160B"
15190596,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15190774,"1/30/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15191353,"1/30/2020","MANHATTAN","OPERATING W/O INSURANCE INF.","3191U"
15191475,"1/30/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15194172,"1/30/2020","STATEN ISLAND","MOVED FROM LANE UNSAFELY","1128A"
15194441,"1/30/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15195127,"1/30/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15195437,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15195823,"1/30/2020","BRONX","OPERATING W/O INSURANCE INF.","3191U"
15203443,"1/30/2020","BROOKLYN","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15203934,"1/30/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15204141,"1/30/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15204296,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15205035,"1/30/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15205506,"1/30/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15205703,"1/30/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15205703,"1/30/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15205909,"1/30/2020","BRONX","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15206290,"1/30/2020","BRONX","UNLICENSED OPERATOR","5091"
15207219,"1/30/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15207377,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15207715,"1/30/2020","BROOKLYN","REFUSAL TO TAKE BREATH TEST","11941B"
15208293,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15208833,"1/30/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15213253,"1/30/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15213524,"1/30/2020","BROOKLYN","UNREGISTERED MOTOR VEHICLE","4011A"
15213978,"1/30/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15214002,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15214177,"1/30/2020","BRONX","UNLICENSED OPERATOR","5091"
15214395,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15214658,"1/30/2020","MANHATTAN","FLD TO STOP @ STOP SIGN","1172A"
15214830,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15215144,"1/30/2020","BRONX","DROVE ACROSS HAZARD MARKING","1128D"
15215362,"1/30/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15215468,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15221076,"1/30/2020","BRONX","FLD/NOTIFY DMV CHANGE OF ADDRESS","5098"
15221122,"1/30/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15221486,"1/30/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15221705,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15221782,"1/30/2020","MANHATTAN","UNINSPECTED MOTOR VEHICLE","306B"
15222098,"1/30/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15223050,"1/30/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15223834,"1/30/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15223995,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15224120,"1/30/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15224161,"1/30/2020","BROOKLYN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15224300,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15226980,"1/30/2020","QUEENS","UNLICENSED OPERATOR","5091"
15227303,"1/30/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15227422,"1/30/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15227479,"1/30/2020","BRONX","OPERATING W/O INSURANCE INF.","3191U"
15227638,"1/30/2020","MANHATTAN","MOVED FROM LANE UNSAFELY","1128A"
15227705,"1/30/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15227705,"1/30/2020","BRONX","DROVE ACROSS HAZARD MARKING","1128D"
15227787,"1/30/2020","STATEN ISLAND","FOLLOWING TOO CLOSELY","1129A"
15227824,"1/30/2020","MANHATTAN","FAILED TO GIVE ONE HALF OF RDWY","1121"
15227829,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15227961,"1/30/2020","MANHATTAN","FLD TO STOP @ STOP SIGN","1172A"
15228035,"1/30/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15228038,"1/30/2020","QUEENS","DRIVING W/ABILITY IMPARED BY DRUG","11924"
15228042,"1/30/2020","BRONX","USE RENTED/LEASED/LOANED VEH W/O INTERLOCK","11987A"
15228213,"1/30/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15228545,"1/30/2020","MANHATTAN","IMPROPER PASSING","1123"
15228647,"1/30/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15228681,"1/30/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15229034,"1/30/2020","MANHATTAN","FAILED TO USE DESIGNATED LANE","1128C"
15229037,"1/30/2020","MANHATTAN","FLD TO YLD RT-OF-WAY TO PED","1151A"
15229202,"1/30/2020","BRONX","UNINSPECTED MOTOR VEHICLE","306B"
15229312,"1/30/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15229430,"1/30/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15229511,"1/30/2020","MANHATTAN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15229714,"1/30/2020","BRONX","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15229822,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15229896,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15230081,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15230190,"1/30/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15230736,"1/30/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15230949,"1/30/2020","QUEENS","BACKING UNSAFELY","1211A"
15231185,"1/30/2020","BRONX","OPERATING/VIOLATION OF RESTRICTIONS","5093"
15231187,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15231588,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15231613,"1/30/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15234258,"1/30/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15234322,"1/30/2020","BRONX","DISOBEYED TRAFFIC DEVICE","1110A"
15234560,"1/30/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15234805,"1/30/2020","QUEENS","UNLICENSED OPERATOR","5091"
15235218,"1/30/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15237712,"1/30/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15237886,"1/30/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15237922,"1/30/2020","MANHATTAN","AGGRAVATED UNLIC OPER. 1ST DEGREE","5113A"
15238261,"1/30/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15238517,"1/30/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15238761,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15238971,"1/30/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15239173,"1/30/2020","BRONX","RECKLESS DRIVING","1212"
15239186,"1/30/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15239196,"1/30/2020","BRONX","RECKLESS DRIVING","1212"
15239237,"1/30/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15239311,"1/30/2020","QUEENS","UNINSPECTED MOTOR VEHICLE","306B"
15239431,"1/30/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15239494,"1/30/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15245073,"1/30/2020","MANHATTAN","DISOBEYED TRAFFIC DEVICE","1110A"
15245272,"1/30/2020","QUEENS","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15147108,"1/31/2020","BRONX","DRIVING WHILE INTOXICATED","11923"
15147108,"1/31/2020","MANHATTAN","AGGRAVATED DWI - BLOOD ALCOHOL CONTENT .18 OR HIGH","11922AA"
15151173,"1/31/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15151433,"1/31/2020","MANHATTAN","OPERATING OUT OF CLASS","5092"
15152394,"1/31/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15152445,"1/31/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15152694,"1/31/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15152979,"1/31/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15156922,"1/31/2020","BROOKLYN","DRIVING THRU SAFETY ZONE","1221"
15157082,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15157462,"1/31/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15157613,"1/31/2020","BROOKLYN","CONSUMPTION/ALCOHOL IN MOTR VEHICLE","12271"
15158942,"1/31/2020","BROOKLYN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15159504,"1/31/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15159586,"1/31/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15160607,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15162707,"1/31/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15163343,"1/31/2020","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15163586,"1/31/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15164319,"1/31/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15164373,"1/31/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15164864,"1/31/2020","BRONX","DRIV'G IN SHOULDER / LMT ACESS HGWH","1131"
15164962,"1/31/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15164991,"1/31/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15165131,"1/31/2020","QUEENS","DRIVING W/ABILITY IMPARED BY DRUG","11924A"
15165166,"1/31/2020","QUEENS","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15165167,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15165577,"1/31/2020","QUEENS","DRIVING TO LEFT AT RAILRD CROSSING","1125A2"
15168698,"1/31/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15168904,"1/31/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15169689,"1/31/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15170204,"1/31/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15172913,"1/31/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15173218,"1/31/2020","BRONX","UNLICENSED OPERATOR","5091"
15173829,"1/31/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15173876,"1/31/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15173993,"1/31/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15176224,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15176746,"1/31/2020","MANHATTAN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15176746,"1/31/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15176856,"1/31/2020","MANHATTAN","DRIVING WHILE INTOXICATED","11923"
15176946,"1/31/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15177133,"1/31/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15177152,"1/31/2020","BRONX","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15177156,"1/31/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15177504,"1/31/2020","MANHATTAN","MOVED FROM LANE UNSAFELY","1128A"
15177629,"1/31/2020","BROOKLYN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15178014,"1/31/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15178315,"1/31/2020","BRONX","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15178432,"1/31/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15178530,"1/31/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15178728,"1/31/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15178857,"1/31/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15179194,"1/31/2020","BRONX","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15179310,"1/31/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15179700,"1/31/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15179967,"1/31/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15181740,"1/31/2020","BROOKLYN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15185213,"1/31/2020","BROOKLYN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15185380,"1/31/2020","STATEN ISLAND","DRIVING WHILE INTOXICATED","11923"
15186138,"1/31/2020","BROOKLYN","FAILED TO USE DESIGNATED LANE","1128C"
15187952,"1/31/2020","MANHATTAN","OPERATING REGISTRATION SUSP/REVOKED","512"
15190219,"1/31/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15191564,"1/31/2020","QUEENS","UNREGISTERED MOTOR VEHICLE","4011A"
15194532,"1/31/2020","BROOKLYN","OPERATING REGISTRATION SUSP/REVOKED","512"
15195267,"1/31/2020","QUEENS","FLD TO STOP @ STOP SIGN","1172A"
15195294,"1/31/2020","BROOKLYN","DROVE ACROSS HAZARD MARKING","1128D"
15195770,"1/31/2020","MANHATTAN","DRIVING WHILE INTOXICATED","11923"
15198814,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15198862,"1/31/2020","QUEENS","FAILED TO USE DESIGNATED LANE","1128C"
15199544,"1/31/2020","BRONX","UNLICENSED OPERATOR","5091"
15199696,"1/31/2020","BROOKLYN","UNSAFE TIRE","37535C"
15200656,"1/31/2020","MANHATTAN","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15204089,"1/31/2020","QUEENS","FAILED TO USE DESIGNATED LANE","1128C"
15205010,"1/31/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15205575,"1/31/2020","MANHATTAN","FLD TO STOP @ STOP SIGN","1172A"
15205933,"1/31/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15205983,"1/31/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15206003,"1/31/2020","BRONX","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15207243,"1/31/2020","BROOKLYN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15207403,"1/31/2020","BROOKLYN","UNINSPECTED MOTOR VEHICLE","306B"
15207518,"1/31/2020","QUEENS","AGGRAVATED UNLIC OPER-2ND DEG.","5112A2"
15207600,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15207606,"1/31/2020","BRONX","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15208026,"1/31/2020","MANHATTAN","AGGRAVATED DWI - BLOOD ALCOHOL CONTENT .18 OR HIGH","11922AA"
15208768,"1/31/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15208780,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15213158,"1/31/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15213903,"1/31/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15214426,"1/31/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15214467,"1/31/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15214468,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15215022,"1/31/2020","MANHATTAN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15215431,"1/31/2020","MANHATTAN","USE RENTED/LEASED/LOANED VEH W/O INTERLOCK","11987A"
15215568,"1/31/2020","BRONX","FLD TO YLD RT-OF-WAY @ INTERSECTION","1140A"
15221037,"1/31/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15221153,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15221521,"1/31/2020","STATEN ISLAND","DRIVING WHILE INTOXICATED","11923"
15221649,"1/31/2020","MANHATTAN","OPERATING REGISTRATION SUSP/REVOKED","512"
15221771,"1/31/2020","MANHATTAN","MOVED FROM LANE UNSAFELY","1128A"
15222130,"1/31/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15223063,"1/31/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15223301,"1/31/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15223971,"1/31/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15224243,"1/31/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15224508,"1/31/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15225539,"1/31/2020","QUEENS","OP MV- MOBILE PHONE","1225C2A"
15227408,"1/31/2020","MANHATTAN","UNINSPECTED MOTOR VEHICLE","306B"
15227609,"1/31/2020","MANHATTAN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15227852,"1/31/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15227860,"1/31/2020","BROOKLYN","BACKING UNSAFELY","1211A"
15227882,"1/31/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15227943,"1/31/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15227989,"1/31/2020","QUEENS","DRIV'G IN SHOULDER / LMT ACESS HGWH","1131"
15228042,"1/31/2020","QUEENS","DRIVING W/ABILITY IMPARED BY DRUG","11924A"
15228087,"1/31/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15228223,"1/31/2020","BROOKLYN","SPEED IN ZONE","1180D"
15228253,"1/31/2020","BRONX","UNLICENSED OPERATOR","5091"
15229120,"1/31/2020","BROOKLYN","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15229326,"1/31/2020","QUEENS","DRIVING WHILE INTOXICATED","11923"
15229450,"1/31/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15229495,"1/31/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15229643,"1/31/2020","STATEN ISLAND","MOVED FROM LANE UNSAFELY","1128A"
15229684,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15229827,"1/31/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15229875,"1/31/2020","MANHATTAN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15229932,"1/31/2020","BROOKLYN","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15229948,"1/31/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15231162,"1/31/2020","MANHATTAN","REFUSAL TO TAKE BREATH TEST","11941B"
15232401,"1/31/2020","QUEENS","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15233405,"1/31/2020","BROOKLYN","OPERATING REGISTRATION SUSP/REVOKED","512"
15234181,"1/31/2020","QUEENS","UNINSPECTED MOTOR VEHICLE","306B"
15234403,"1/31/2020","QUEENS","UNSAFE TIRE","37535C"
15234608,"1/31/2020","QUEENS","REFUSAL TO TAKE BREATH TEST","11941B"
15235066,"1/31/2020","QUEENS","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15235265,"1/31/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15235370,"1/31/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15238008,"1/31/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15238076,"1/31/2020","STATEN ISLAND","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15238076,"1/31/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15238154,"1/31/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15238706,"1/31/2020","STATEN ISLAND","SPEED NOT REASONABLE & PRUDENT","1180A"
15238843,"1/31/2020","QUEENS","IMPROPER OR UNSAFE TURN/WITHOUT SIGNAL","1163A"
15238879,"1/31/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15239068,"1/31/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15239173,"1/31/2020","QUEENS","SPEED IN ZONE","1180D"
15239479,"1/31/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
